ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
13875,20201112,Day 3,1,4,P. aeruginosa,0.1ng/mL LPS,1123.333333
13875,20201112,Day 3,1,1,P. aeruginosa,100ng/mL LPS,1061.666667
13875,20201112,Day 3,1,2,P. aeruginosa,100ng/mL LPS,910.6666667
13875,20201112,Day 3,1,3,P. aeruginosa,100ng/mL LPS,937.6666667
13875,20201112,Day 3,1,4,P. aeruginosa,100ng/mL LPS,780.6666667
13875,20201112,Day 3,1,1,P. aeruginosa,0.1ng/mL LTA,838
13875,20201112,Day 3,1,2,P. aeruginosa,0.1ng/mL LTA,970
13875,20201112,Day 3,1,3,P. aeruginosa,0.1ng/mL LTA,826.6666667
13875,20201112,Day 3,1,4,P. aeruginosa,0.1ng/mL LTA,929
13875,20201112,Day 3,1,1,P. aeruginosa,100ng/mL LTA,956.3333333
13875,20201112,Day 3,1,2,P. aeruginosa,100ng/mL LTA,961.6666667
13875,20201112,Day 3,1,3,P. aeruginosa,100ng/mL LTA,1025.666667
13875,20201112,Day 3,1,4,P. aeruginosa,100ng/mL LTA,990.3333333
13875,20201112,Day 3,1,1,P. aeruginosa,Fungi alone,939.6666667
13875,20201112,Day 3,1,2,P. aeruginosa,Fungi alone,838
13875,20201112,Day 3,1,3,P. aeruginosa,Fungi alone,936.3333333
13875,20201112,Day 3,1,4,P. aeruginosa,Fungi alone,879.6666667
13875,20201112,Day 3,1,1,P. aeruginosa,Autoclaved bacteria,1101
13875,20201112,Day 3,1,2,P. aeruginosa,Autoclaved bacteria,1117
13875,20201112,Day 3,1,3,P. aeruginosa,Autoclaved bacteria,1050
13875,20201112,Day 3,1,4,P. aeruginosa,Autoclaved bacteria,1120.333333
13875,20201112,Day 3,1,1,S. aureus,0.1ng/mL LPS,54.66666667
13875,20201112,Day 3,1,2,S. aureus,0.1ng/mL LPS,57
